Number_Nodes_ECMWF,Performance_ECMWF_10m,Energy_ECMWF_10M,Number_Nodes_Gekko_1MB,Performance_Gekko_1MB_10m,Energy_Gekko_1MB,Desirability_Perform_ECMWF,Desirability_Perform_Gekko,Desirability_Energy_ECMWF,Desirability_Energy_Gekko,Composite_Desirability
128,16318.853832989353,3610.7226541702908,128,23543.100804234444,177.42551628087162,1.0,1.0,-9580755944174.062,-22768429940587.47,1.0
64,11741.508137420537,2597.935483692178,64,16302.484323350196,122.85878235763174,0.7195056869548344,0.6924527257011975,-6893408387159.291,-15766061372296.238,0.7058496115245603
32,6180.238631649155,1367.4445438295973,32,9528.57786921245,71.80926853795886,0.37871769028015334,0.4047290944572028,-3628401762314.8286,-9215046032065.635,0.39150743012360795
16,3243.3740775820897,717.6315431050753,16,5075.292814614646,38.24842170949889,0.1987501150984913,0.2155745267718434,-1904176346634.3481,-4908293509779.229,0.20699145394966
8,1786.6823762085726,395.32277190580976,8,2378.1750466801204,17.922402786790723,0.10948577605350614,0.10101367132796644,-1048956499726.2487,-2299922698671.434,0.10516444359834436
4,1091.3651192955094,241.47631938741986,4,1384.412377584713,10.433208559953915,0.06687755956789453,0.058803315208832384,-640737576361.0273,-1338859162605.6404,0.0627106228295025
2,460.72641166787855,101.94069442676414,2,665.3956821378915,5.014554939727578,0.02823276783915411,0.028262873598120686,-270491258294.49023,-643501257437.5183,0.028247816707863697
1,0.00012200230067413075,2.699432664899871e-05,1,0.00012200229716660284,9.194337119069523e-07,7.476156225353106e-09,5.182082775802396e-09,-71626.22819563317,-117986.88862718707,6.224277129440266e-09
256,9.315949351218487e-09,2.0612544062100835e-09,256,9.316141697582698e-09,7.020830706132273e-11,5.70870322545928e-13,3.9570580676896666e-13,-4.4693692360850354,-8.009599938503257,4.3879181929701794e-13
512,1.7032950143053107e-09,3.768724175012045e-10,512,1.034023903521999e-09,7.792610941722489e-12,1.0437589745806886e-13,4.392046366874581e-14,0.0,0.0,0.0
