node;object_size;Mean_gekko;std_gekko;delay_gekko;model
1;64MiB;318.61;2.963073;0.00313863343900066;318.961407466756
1;1MiB;318.48;1.5414432;0.00313991459432303;318.83126446953344
1;64KiB;290.39;17.739925099999997;0.00344364475360722;290.7103587007956
1;8KiB;246.84;3.097842;0.00405120725976341;247.47390037486474
2;64MiB;635.38;2.3636136000000003;0.00157386131134124;635.667069072417
2;1MiB;639.16;1.8152144;0.00156455347643782;639.4487535717867
2;64KiB;589.24;22.4912908;0.00169710135089268;589.5064852428706
2;8KiB;467.86;15.799632200000001;0.00213739152737999;468.37537202675657
4;64MiB;1391.21;11.4218341;0.000718798743539796;1391.4456637101073
4;1MiB;1374.35;12.657763499999998;0.000727616691526904;1374.5830357328693
4;64KiB;1290.62;57.226090799999994;0.000774821403666455;1290.8399018142677
4;8KiB;924.84;168.8017968;0.00108126811124086;925.2552639859168
8;64MiB;2528.41;55.62501999999999;0.000395505475773312;2528.8100056113326
8;1MiB;2371.67;16.2933729;0.000421643820598987;2372.0488665774046
8;64KiB;2265.03;88.5173724;0.000441495256133473;2265.394208005832
8;8KiB;1888.2;439.27084800000006;0.000529604914733609;1888.5106168427365
16;64MiB;4825.79;67.56106;0.000207219957768573;4825.900841615881
16;1MiB;4647.5;32.578975;0.000215169445938677;4647.614973068353
16;64KiB;4460.0;217.87099999999998;0.000224215246636771;4460.118637050063
16;8KiB;3837.8;466.86837;0.000260565949241753;3837.9257940613643
32;64MiB;9335.76;24.272976;0.000107115007240974;9335.139923250856
32;1MiB;8978.11;89.42197560000001;0.000111382016927839;8977.54568501705
32;64KiB;8166.83;376.4091947;0.000122446530661224;8166.382721072461
32;8KiB;6045.56;1345.3184668000001;0.000165410648475906;6045.62564700312
64;64MiB;18557.67;117.65562779999999;0.0000538860751376655;18554.412025653495
64;1MiB;17799.81;62.47733310000001;0.0000561803749590586;17796.819753243042
64;64KiB;15358.32;682.677324;0.0000651112882138151;15356.37798991495
64;8KiB;11213.3;2311.733928;0.000089179813257471;11212.345367044214
128;64MiB;38732.05;209.5403905;0.0000258184113673302;38717.4507440947
128;1MiB;37416.26;299.33008;0.0000267263483843655;37402.6480121615
128;64KiB;32730.87;290.6501256;0.0000305521973598624;32720.49306792685
128;8KiB;17176.56;959.310876;0.0000582188750250341;17174.07682507228
256;64MiB;74786.43;145.83353849999997;0.0000133714097597652;74730.83095140876
256;1MiB;73472.87;434.95939039999996;0.000013610466012829;73419.21065788071
256;64KiB;65202.68;3007.1476016;0.0000153367929048315;65160.44261803588
256;8KiB;32986.79;464.7838711;0.0000303151655556664;32976.24767574398
512;64MiB;141109.55;1775.1581389999997;0.00000708669257325248;140910.92505320377
512;1MiB;137138.78;1073.7966474;0.00000729188344828501;136951.17335585548
512;64KiB;125049.02;6803.9171782;0.00000799686394983343;124893.02728726125
512;8KiB;65171.17;6042.019170699999;0.0000153442081828514;65128.97352743214
