Number_Nodes_ECMWF;Performance_ECMWF_10m;Performance_ECMWF_1h;Performance_ECMWF_1d;Number_Nodes_LQCD;Performance_LQCD_10m;Performance_LQCD_1h;Performance_LQCD_1d;Performability_Combined_10m;Performability_Combined_1h;Performability_Combined_1d
1;273.29920646303856;0.002928054909397013;1.2200230067413075E-4;1;293.0890906957744;0.002928054907390694;1.2200229972796142E-4;566.388297158813;0.00585610981678771;0.000244004600402092
1;273.29920646303856;0.002928054909397013;1.2200230067413075E-3;2;553.1165854776567;553.1148503373639;553.0671631709951;826.415791940695;553.117778392273;553.068383194002
1;273.29920646303856;0.002928054909397013;1.2200230067413075E-2;4;1223.611919018219;1223.5966507488827;1223.1746390262;1496.91112548126;1223.59957880379;1223.18683925627
1;273.29920646303856;0.002928054909397013;1.2200230067413075E-1;8;2084.875624795389;2084.7714284681315;2081.895343547835;2358.17483125843;2084.77435652304;2082.01734584851
1;273.29920646303856;0.002928054909397013;1.2200230067413075E0;16;4110.266499814783;4109.44464565027;4086.768159075887;4383.56570627782;4109.44757370518;4087.98818208263
1;273.29920646303856;0.002928054909397013;1.2200230067413075E1;32;7460.969053401793;7455.0007833279;7460.969053401793;7734.26825986483;7455.00371138281;7473.16928346921
1;273.29920646303856;0.002928054909397013;1.2200230067413075E2;64;14441.094847361013;14394.866035374142;13120.969584114655;14714.3940538241;14394.8689634291;13242.9718847888
1;273.29920646303856;0.002928054909397013;1.2200230067413075E3;128;29680.790253307496;29300.031291791915;18838.859572550227;29954.0894597705;29300.0342198468;20058.8825792915
1;273.29920646303856;0.002928054909397013;1.2200230067413075E4;256;57260.7232286397;54300.131457842916;9.316001525488321E-9;57534.0224351027;54300.1343858978;12200.2300674224
2;460.7675824099422;460.76613794466834;460.72641166787855;1;293.0890906957744;0.002928054907390694;1.2200229972796142E-4;753.856673105717;460.769065999576;460.726533670178
2;460.7675824099422;460.76613794466834;460.72641166787855;2;553.1165854776567;553.1148503373639;553.0671631709951;1013.8841678876;1013.88098828203;1013.79357483887
2;460.7675824099422;460.76613794466834;460.72641166787855;4;1223.611919018219;1223.5966507488827;1223.1746390262;1684.37950142816;1684.36278869355;1683.90105069408
2;460.7675824099422;460.76613794466834;460.72641166787855;8;2084.875624795389;2084.7714284681315;2081.895343547835;2545.64320720533;2545.5375664128;2542.62175521571
2;460.7675824099422;460.76613794466834;460.72641166787855;16;4110.266499814783;4109.44464565027;4086.768159075887;4571.03408222473;4570.21078359494;4547.49457074377
2;460.7675824099422;460.76613794466834;460.72641166787855;32;7460.969053401793;7455.0007833279;7460.969053401793;7921.73663581174;7915.76692127257;7921.69546506967
2;460.7675824099422;460.76613794466834;460.72641166787855;64;14441.094847361013;14394.866035374142;13120.969584114655;14901.862429771;14855.6321733188;13581.6959957825
2;460.7675824099422;460.76613794466834;460.72641166787855;128;29680.790253307496;29300.031291791915;18838.859572550227;30141.5578357174;29760.7974297366;19299.5859842181
2;460.7675824099422;460.76613794466834;460.72641166787855;256;57260.7232286397;54300.131457842916;9.316001525488321E-9;57721.4908110496;54760.8975957876;460.726411677195
4;1091.755311831357;1091.7416865881078;1091.3651192955094;1;293.0890906957744;0.002928054907390694;1.2200229972796142E-4;1384.84440252713;1091.74461464302;1091.36524129781
4;1091.755311831357;1091.7416865881078;1091.3651192955094;2;553.1165854776567;553.1148503373639;553.0671631709951;1644.87189730901;1644.85653692547;1644.4322824665
4;1091.755311831357;1091.7416865881078;1091.3651192955094;4;1223.611919018219;1223.5966507488827;1223.1746390262;2315.36723084958;2315.33833733699;2314.53975832171
4;1091.755311831357;1091.7416865881078;1091.3651192955094;8;2084.875624795389;2084.7714284681315;2081.895343547835;3176.63093662675;3176.51311505624;3173.26046284334
4;1091.755311831357;1091.7416865881078;1091.3651192955094;16;4110.266499814783;4109.44464565027;4086.768159075887;5202.02181164614;5201.18633223838;5178.1332783714
4;1091.755311831357;1091.7416865881078;1091.3651192955094;32;7460.969053401793;7455.0007833279;7460.969053401793;8552.72436523315;8546.74246991601;8552.3341726973
4;1091.755311831357;1091.7416865881078;1091.3651192955094;64;14441.094847361013;14394.866035374142;13120.969584114655;15532.8501591924;15486.6077219622;14212.3347034102
4;1091.755311831357;1091.7416865881078;1091.3651192955094;128;29680.790253307496;29300.031291791915;18838.859572550227;30772.5455651389;30391.77297838;19930.2246918457
