Metric,Value
AccessPatternWrite_Sum,"[0, 2406320, 3920, 212056]"
AccessPatternWrite_Proportion,"[0.0, 0.9176385884736125, 0.001494873195093155, 0.08086653833129441]"
IoSizesWrite_Sum,"[90227, 2496891, 30355, 3, 4702, 0, 0]"
IoSizesWrite_Proportion,"[0.03440918198535721, 0.9522202535449539, 0.011576254548699592, 1.1440870909602628e-06, 0.0017931658338983852, 0.0, 0.0]"
OperationsCountWrite,31490
VolumeWrite,45704765127
