node;MTTR;object_size;Mean_gekko;std_gekko;delay_gekko;th_perfModel;th_performabilitymodel
1;10m;64MiB;318.61;2.963073;0.00313863343900066;;318.6089297856111
1;10m;1MiB;318.48;1.5414432;0.00313991459432303;;318.47893063847425
1;10m;64KiB;290.39;17.739925099999997;0.00344364475360722;;290.38910695404144
1;10m;8KiB;246.84;3.097842;0.00405120725976341;;246.83934894657165
1;1h;64MiB;318.61;2.963073;0.00313863343900066;;0.00292805490084209
1;1h;1MiB;318.48;1.5414432;0.00313991459432303;;0.002928054900885152
1;1h;64KiB;290.39;17.739925099999997;0.00344364475360722;;0.002928054907837864
1;1h;8KiB;246.84;3.097842;0.00405120725976341;;0.0029280549066680135
1;1d;64MiB;318.61;2.963073;0.00313863343900066;;1.2200229850096582E-4
1;1d;1MiB;318.48;1.5414432;0.00313991459432303;;1.2200229850723297E-4
1;1d;64KiB;290.39;17.739925099999997;0.00344364475360722;;1.2200229985735065E-4
1;1d;8KiB;246.84;3.097842;0.00405120725976341;;1.2200230192980625E-4
2;10m;64MiB;635.38;2.3636136000000003;0.00157386131134124;;635.3755533910254
2;10m;1MiB;639.16;1.8152144;0.00156455347643782;;639.1555027023824
2;10m;64KiB;589.24;22.4912908;0.00169710135089268;;589.2361490101845
2;10m;8KiB;467.86;15.799632200000001;0.00213739152737999;;467.85751193591295
2;1h;64MiB;635.38;2.3636136000000003;0.00157386131134124;;635.3735590060679
2;1h;1MiB;639.16;1.8152144;0.00156455347643782;;639.1534963972151
2;1h;64KiB;589.24;22.4912908;0.00169710135089268;;589.2343000748036
2;1h;8KiB;467.86;15.799632200000001;0.00213739152737999;;467.85604516842005
2;1d;64MiB;635.38;2.3636136000000003;0.00157386131134124;;635.3187810985515
2;1d;1MiB;639.16;1.8152144;0.00156455347643782;;639.0983926650065
2;1d;64KiB;589.24;22.4912908;0.00169710135089268;;589.1834993542965
2;1d;8KiB;467.86;15.799632200000001;0.00213739152737999;;467.81570769413315
4;10m;64MiB;1391.21;11.4218341;0.000718798743539796;;1391.1871491326901
4;10m;1MiB;1374.35;12.657763499999998;0.000727616691526904;;1374.3276579995495
4;10m;64KiB;1290.62;57.226090799999994;0.000774821403666455;;1290.6001008261924
4;10m;8KiB;924.84;168.8017968;0.00108126811124086;;924.8291065906199
4;1h;64MiB;1391.21;11.4218341;0.000718798743539796;;1391.1697480781415
4;1h;1MiB;1374.35;12.657763499999998;0.000727616691526904;;1374.3104680012186
4;1h;64KiB;1290.62;57.226090799999994;0.000774821403666455;;1290.5839589104328
4;1h;8KiB;924.84;168.8017968;0.00108126811124086;;924.8175621569629
4;1d;64MiB;1391.21;11.4218341;0.000718798743539796;;1390.6899429879204
4;1d;1MiB;1374.35;12.657763499999998;0.000727616691526904;;1373.836477397568
4;1d;64KiB;1290.62;57.226090799999994;0.000774821403666455;;1290.1388442538087
4;1d;8KiB;924.84;168.8017968;0.00108126811124086;;924.4985737642401
8;10m;64MiB;2528.41;55.62501999999999;0.000395505475773312;;2528.3207040818825
8;10m;1MiB;2371.67;16.2933729;0.000421643820598987;;2371.589962078628
8;10m;64KiB;2265.03;88.5173724;0.000441495256133473;;2264.955979627693
8;10m;8KiB;1888.2;439.27084800000006;0.000529604914733609;;1888.1454193225322
8;1h;64MiB;2528.41;55.62501999999999;0.000395505475773312;;2528.194352442479
8;1h;1MiB;2371.67;16.2933729;0.000421643820598987;;2371.471440713936
8;1h;64KiB;2265.03;88.5173724;0.000441495256133473;;2264.8427858729638
8;1h;8KiB;1888.2;439.27084800000006;0.000529604914733609;;1888.0510527587717
8;1d;64MiB;2528.41;55.62501999999999;0.000395505475773312;;2524.706608349645
8;1d;1MiB;2371.67;16.2933729;0.000421643820598987;;2368.1999012165197
8;1d;64KiB;2265.03;88.5173724;0.000441495256133473;;2261.718275672883
8;1d;8KiB;1888.2;439.27084800000006;0.000529604914733609;;1885.4463611758765
16;10m;64MiB;4825.79;67.56106;0.000207219957768573;;4825.363934813598
16;10m;1MiB;4647.5;32.578975;0.000215169445938677;;4647.097968317785
16;10m;64KiB;4460.0;217.87099999999998;0.000224215246636771;;4459.622556975807
16;10m;8KiB;3837.8;466.86837;0.000260565949241753;;3837.499110313301
16;1h;64MiB;4825.79;67.56106;0.000207219957768573;;4824.399106378691
16;1h;1MiB;4647.5;32.578975;0.000215169445938677;;4646.168781510989
16;1h;64KiB;4460.0;217.87099999999998;0.000224215246636771;;4458.7308532986835
16;1h;8KiB;3837.8;466.86837;0.000260565949241753;;3836.7317932047436
16;1d;64MiB;4825.79;67.56106;0.000207219957768573;;4797.777394777291
16;1d;1MiB;4647.5;32.578975;0.000215169445938677;;4620.530571538046
16;1d;64KiB;4460.0;217.87099999999998;0.000224215246636771;;4434.126953750139
16;1d;8KiB;3837.8;466.86837;0.000260565949241753;;3815.5601761580688
32;10m;64MiB;9335.76;24.272976;0.000107115007240974;;9333.395033552066
32;10m;1MiB;8978.11;89.42197560000001;0.000111382016927839;;8975.86774160771
32;10m;64KiB;8166.83;376.4091947;0.000122446530661224;;8164.856327861194
32;10m;8KiB;6045.56;1345.3184668000001;0.000165410648475906;;6044.227262129237
32;1h;64MiB;9335.76;24.272976;0.000107115007240974;;9325.928600339077
32;1h;1MiB;8978.11;89.42197560000001;0.000111382016927839;;8968.687330110284
32;1h;64KiB;8166.83;376.4091947;0.000122446530661224;;8158.325000434711
32;1h;8KiB;6045.56;1345.3184668000001;0.000165410648475906;;6039.3922823994635
32;1d;64MiB;9335.76;24.272976;0.000107115007240974;;9120.01381749165
