node;MTTR;object_size;Mean_gekko;std_gekko;delay_gekko;th_perfModel;th_performabilitymodel
1;600;64MB;348.17;3.8159432;0.00287216015165006;;348.1687270353654
1;600;1MB;346.22;2.5412548000000004;0.0028883368956155;;346.218740951509
1;600;64KB;293.09;31.3870081;0.00341192125285748;;293.0890906957744
1;600;8KB;273.3;5.780295;0.00365898280278083;;273.29920646303856
1;3600;64MB;348.17;3.8159432;0.00287216015165006;;0.0029280548888784112
1;3600;1MB;346.22;2.5412548000000004;0.0028883368956155;;0.0029280548897901893
1;3600;64KB;293.09;31.3870081;0.00341192125285748;;0.002928054907390694
1;3600;8KB;273.3;5.780295;0.00365898280278083;;0.002928054909397013
1;86400;64MB;348.17;3.8159432;0.00287216015165006;;1.2200229707213378E-4
1;86400;1MB;346.22;2.5412548000000004;0.0028883368956155;;1.2200229716660284E-4
1;86400;64KB;293.09;31.3870081;0.00341192125285748;;1.2200229972796142E-4
1;86400;8KB;273.3;5.780295;0.00365898280278083;;1.2200230067413075E-4
2;600;64MB;675.46;10.6992864;0.00148047256684334;;675.4550013366016
2;600;1MB;665.46;10.4743404;0.00150271992306074;;665.4551420920038
2;600;64KB;553.12;53.2488624;0.0018079259473532;;553.1165854776567
2;600;8KB;460.77;10.477909799999999;0.00217028018317165;;460.7675824099422
2;3600;64MB;675.46;10.6992864;0.00148047256684334;;635.3735590060661
2;3600;1MB;665.46;10.4743404;0.00150271992306074;;665.4530528318572
2;3600;64KB;553.12;53.2488624;0.0018079259473532;;553.1148503373639
2;3600;8KB;460.77;10.477909799999999;0.00217028018317165;;460.76613794466834
2;86400;64MB;675.46;10.6992864;0.00148047256684334;;675.394647878715
2;86400;1MB;665.46;10.4743404;0.00150271992306074;;665.3956821378915
2;86400;64KB;553.12;53.2488624;0.0018079259473532;;553.0671631709951
2;86400;8KB;460.77;10.477909799999999;0.00217028018317165;;460.72641166787855
4;600;64MB;1377.7;17.620783;0.000725847426870872;;1377.677557343194
4;600;1MB;1384.93;11.633412;0.000722058154563769;;1384.9073393400856
4;600;64KB;1223.63;134.5748274;0.000817240505708425;;1223.611919018219
4;600;8KB;1091.77;24.652166599999997;0.000915943834324079;;1091.755311831357
4;3600;64MB;1377.7;17.620783;0.000725847426870872;;1377.6603254093582
4;3600;1MB;1384.93;11.633412;0.000722058154563769;;1384.890016900095
4;3600;64KB;1223.63;134.5748274;0.000817240505708425;;1223.5966507488827
4;3600;8KB;1091.77;24.652166599999997;0.000915943834324079;;1091.7416865881078
4;86400;64MB;1377.7;17.620783;0.000725847426870872;;1377.1851794950253
4;86400;1MB;1384.93;11.633412;0.000722058154563769;;1384.412377584713
4;86400;64KB;1223.63;134.5748274;0.000817240505708425;;1223.1746390262
4;86400;8KB;1091.77;24.652166599999997;0.000915943834324079;;1091.3651192955094
8;600;64MB;2532.82;28.1902866;0.000394816844465852;;2532.7304364848596
8;600;1MB;2381.66;21.625472799999997;0.000419875213086671;;2381.579386689697
8;600;64KB;2084.94;191.2515462;0.000479630109259739;;2084.875624795389
8;600;8KB;1789.29;20.3263344;0.000558880896892063;;1789.2400506473223
8;3600;64MB;2532.82;28.1902866;0.000394816844465852;;2532.6038645393755
8;3600;1MB;2381.66;21.625472799999997;0.000419875213086671;;2381.460366243962
8;3600;64KB;2084.94;191.2515462;0.000479630109259739;;2084.7714284681315
8;3600;8KB;1789.29;20.3263344;0.000558880896892063;;1789.1506261386867
8;86400;64MB;2532.82;28.1902866;0.000394816844465852;;2532.7304364848596
8;86400;1MB;2381.66;21.625472799999997;0.000419875213086671;;2378.1750466801204
8;86400;64KB;2084.94;191.2515462;0.000479630109259739;;2081.895343547835
8;86400;8KB;1789.29;20.3263344;0.000558880896892063;;1786.6823762085726
16;600;64MB;5402.91;35.226973199999996;0.000185085444695544;;5402.401776248163
16;600;1MB;5104.94;334.37357;0.000195888688211811;;5104.475027510809
16;600;64KB;4110.6;520.3608540000001;0.000243273488055272;;4110.266499814783
16;600;8KB;3262.26;99.62942040000001;0.000306535959733436;;3262.0230241182066
16;3600;64MB;5402.91;35.226973199999996;0.000185085444695544;;5401.321579016143
16;3600;1MB;5104.94;334.37357;0.000195888688211811;;5103.454395356081
16;3600;64KB;4110.6;520.3608540000001;0.000243273488055272;;4109.44464565027
16;3600;8KB;3262.26;99.62942040000001;0.000306535959733436;;3261.370769075867
16;86400;64MB;5402.91;35.226973199999996;0.000185085444695544;;5371.516321917597
16;86400;1MB;5104.94;334.37357;0.000195888688211811;;5075.292814614646
16;86400;64KB;4110.6;520.3608540000001;0.000243273488055272;;4086.768159075887
16;86400;8KB;3262.26;99.62942040000001;0.000306535959733436;;3243.3740775820897
32;600;64MB;9828.11;31.351670900000002;0.000101748962923695;;9825.571926413642
32;600;1MB;9754.03;169.4275011;0.000102521726916977;;9751.518282261988
32;600;64KB;7462.72;810.6752736000001;0.000133999399682689;;7460.969053401793
32;600;8KB;6326.25;249.38077499999997;0.000158071527366133;;6324.837620473849
32;3600;64MB;9828.11;31.351670900000002;0.000101748962923695;;9817.71175045236
32;3600;1MB;9754.03;169.4275011;0.000102521726916977;;9743.717349505085
32;3600;64KB;7462.72;810.6752736000001;0.000133999399682689;;7455.0007833279
32;3600;8KB;6326.25;249.38077499999997;0.000158071527366133;;6319.7781726092335
32;86400;64MB;9828.11;31.351670900000002;0.000101748962923695;;9600.93848763493
32;86400;1MB;9754.03;169.4275011;0.000102521726916977;;9528.57786921245
32;86400;64KB;7462.72;810.6752736000001;0.000133999399682689;;7460.969053401793
32;86400;8KB;6326.25;249.38077499999997;0.000158071527366133;;6180.238631649155
64;600;64MB;18516.99;46.47764490000001;0.0000540044575279244;;18501.71490861823
64;600;1MB;17957.42;117.98024939999999;0.0000556872869265184;;17942.706916674502
64;600;64KB;14452.43;1107.3451866;0.0000691925164141947;;14441.094847361013
64;600;8KB;12932.79;375.8268774;0.00007732283598512;;12922.842586779434
64;3600;64MB;18516.99;46.47764490000001;0.0000540044575279244;;18442.48713803482
64;3600;1MB;17957.42;117.98024939999999;0.0000556872869265184;;17885.268659270772
64;3600;64KB;14452.43;1107.3451866;0.0000691925164141947;;14394.866035374142
64;3600;8KB;12932.79;375.8268774;0.00007732283598512;;12881.47455038763
64;86400;64MB;18516.99;46.47764490000001;0.0000540044575279244;;16810.390895800032
64;86400;1MB;17957.42;117.98024939999999;0.0000556872869265184;;16302.484323350196
64;86400;64KB;14452.43;1107.3451866;0.0000691925164141947;;13120.969584114655
64;86400;8KB;12932.79;375.8268774;0.00007732283598512;;11741.508137420537
128;600;64MB;38556.68;107.958704;0.0000259358430238288;;38443.17195338582
128;600;1MB;37201.38;360.4813722;0.0000268807232419873;;37092.364458889926
128;600;64KB;29765.81;2298.5158482;0.0000335955917208368;;29680.790253307496
128;600;8KB;25783.12;517.2093872;0.0000387850655777889;;25710.498634561685
128;3600;64MB;38556.68;107.958704;0.0000259358430238288;;37950.00678474955
128;3600;1MB;37201.38;360.4813722;0.0000268807232419873;;36616.52800224533
128;3600;64KB;29765.81;2298.5158482;0.0000335955917208368;;29300.031291791915
128;3600;8KB;25783.12;517.2093872;0.0000387850655777889;;25380.673680386306
128;86400;64MB;38556.68;107.958704;0.0000259358430238288;;24400.47878014669
128;86400;1MB;37201.38;360.4813722;0.0000268807232419873;;23543.100804234444
128;86400;64KB;29765.81;2298.5158482;0.0000335955917208368;;18838.859572550227
128;86400;8KB;25783.12;517.2093872;0.0000387850655777889;;16318.853832989353
256;600;64MB;81542.11;507.1919242;0.0000122636022050447;;80641.55700337364
256;600;1MB;82466.49;3170.8365405;0.0000121261375378047;;81554.97478279413
256;600;64KB;57886.49;7109.6187018;0.0000172751880447407;;57260.7232286397
256;600;8KB;48738.41;1990.9640485;0.0000205176984641066;;48215.945295469304
256;3600;64MB;81542.11;507.1919242;0.0000122636022050447;;76472.08900368217
256;3600;1MB;82466.49;3170.8365405;0.0000121261375378047;;77338.279681891
256;3600;64KB;57886.49;7109.6187018;0.0000172751880447407;;54300.131457842916
256;3600;8KB;48738.41;1990.9640485;0.0000205176984641066;;45723.00213179926
256;86400;64MB;81542.11;507.1919242;0.0000122636022050447;;9.31613642636693E-9
256;86400;1MB;82466.49;3170.8365405;0.0000121261375378047;;9.316141697582698E-9
256;86400;64KB;57886.49;7109.6187018;0.0000172751880447407;;9.316001525488321E-9
256;86400;8KB;48738.41;1990.9640485;0.0000205176984641066;;9.315949351218487E-9
512;600;64MB;140844.69;863.3779497;0.0000071000191771518;;134887.32875340217
512;600;1MB;135837.48;748.4645148000001;0.00000736173845392303;;130098.41664975666
512;600;64KB;105108.34;8790.2104742;0.00000951399289533067;;100698.47300319548
512;600;8KB;97859.16;1427.7651444;0.0000102187674613189;;93760.21970314135
512;3600;64MB;140844.69;863.3779497;0.0000071000191771518;;106110.16421972236
512;3600;1MB;135837.48;748.4645148000001;0.00000736173845392303;;102342.93036134251
512;3600;64KB;105108.34;8790.2104742;0.00000951399289533067;;79215.23379610563
512;3600;8KB;97859.16;1427.7651444;0.0000102187674613189;;73757.20974969307
512;86400;64MB;140844.69;863.3779497;0.0000071000191771518;;1.7034165465558814E-9
512;86400;1MB;135837.48;748.4645148000001;0.00000736173845392303;;1.7034023903521999E-9
512;86400;64KB;105108.34;8790.2104742;0.00000951399289533067;;1.7033155108358457E-9
512;86400;8KB;97859.16;1427.7651444;0.0000102187674613189;;1.7032950143053107E-9
