app,node_id,failure_time
DAE,146.0,4999.416111111112
DAE,164.0,3929.3605555555555
DAE,279.0,8793.050833333335
DAE,405.0,7810.191944444445
DAE,876.0,6741.125277777777
DAE,966.0,7433.665555555556
DAE,977.0,6579.983611111111
DAE,1076.0,7780.242222222222
DAE,1105.0,7810.092500000001
DAE,1271.0,15249.330833333333
DAE,1438.0,5253.789444444444
DAE,1452.0,10157.747500000001
DAE,1549.0,5726.888611111111
DAE,1747.0,16650.334722222222
DAE,1791.0,6825.934444444444
DAE,1871.0,12315.668101851852
DAE,2323.0,8007.7725
DAE,2711.0,1131.2205555555556
DAE,3009.0,5869.256388888889
DAE,3239.0,9950.517777777777
DAE,3265.0,5920.763611111111
DAE,3429.0,6372.242499999999
DAE,3803.0,11146.004166666668
DAE,3827.0,6825.841666666666
DAE,4361.0,4803.966111111111
DAE,4604.0,5146.951527777778
DAE,4612.0,7810.443888888889
DAE,4724.0,5109.263888888889
DAE,5078.0,7809.985
DAE,5232.0,15801.034444444444
DAE,5422.0,5435.116388888889
DAE,5562.0,11995.055277777778
DAE,5573.0,6375.48625
DAE,5577.0,14649.234999999999
DAE,5618.0,5481.7825
DAE,5812.0,17158.96861111111
DAE,5875.0,12346.859166666667
DAE,6029.0,13484.639722222222
DAE,6094.0,6650.690740740741
DAE,6132.0,8486.048194444444
DAE,6600.0,6901.331666666667
DAE,7213.0,5270.659374999999
DAE,8071.0,11395.230833333333
DAE,8923.0,8906.089166666667
DAE,9277.0,9755.18486111111
DAE,9543.0,5726.903333333334
DAE,10249.0,4775.446018518519
DAE,10594.0,4655.620277777778
DAE,11524.0,7900.618055555556
DAE,12063.0,6364.4825
DAE,12694.0,13270.769722222223
DAE,12701.0,6244.746388888889
DAE,13142.0,6040.284722222222
DAE,13145.0,4289.569166666666
DAE,13254.0,7809.879722222222
DAE,13633.0,7809.965277777778
DAE,13692.0,6411.245555555555
DAE,13698.0,11518.191666666668
DAE,14011.0,16724.301944444444
DAE,14287.0,6936.775277777778
DAE,14568.0,15654.201388888889
DAE,15536.0,4965.759097222222
DAE,15811.0,6512.927222222223
DAE,15885.0,4265.014722222222
DAE,15970.0,6346.992499999999
DAE,15998.0,4797.898111111112
DAE,16685.0,5351.495833333333
DAE,16693.0,6025.8822222222225
DAE,17250.0,4900.809444444444
DAE,17487.0,6924.971574074075
DAE,17549.0,6975.985277777777
DAE,17942.0,12547.421388888888
DAE,18142.0,4363.568611111111
DAE,18334.0,5803.577222222223
DAE,18814.0,5295.7875
DAE,19087.0,6781.2202777777775
DAE,19480.0,6469.247777777778
DAE,19578.0,15000.69701388889
DAE,19819.0,10797.071666666667
DAE,20767.0,4375.8069444444445
DAE,21007.0,5921.153333333334
DAE,21039.0,6263.538333333333
DAE,21477.0,6130.380833333333
DAE,21688.0,4514.122083333334
DAE,21842.0,8474.88625
DAE,22043.0,5818.091111111111
DAE,22276.0,14790.934444444445
DAE,22373.0,12249.109444444444
DAE,22450.0,2778.6252777777777
DAE,22637.0,5200.884166666667
DAE,23235.0,7891.6611111111115
DAE,23435.0,7810.446666666667
DAE,23804.0,6852.043888888889
DAE,23851.0,5075.396111111111
DAE,23862.0,6914.580555555555
DAE,24707.0,6645.405555555556
DAE,24768.0,5212.018611111111
DAE,24835.0,4608.803333333333
DAE,25237.0,6025.968055555555
DAE,25761.0,6195.540555555556
DAE,25982.0,7810.027777777778
DAE,26078.0,5966.798055555556
DAE,26180.0,6010.261944444444
DAE,26319.0,2559.9238888888885
DAE,26360.0,7809.978611111112
DAE,26438.0,5981.486944444445
DAE,27435.0,6408.990277777778
DAE,27677.0,3392.3573611111115
DAE,27757.0,10713.285277777779
DAE,28026.0,7810.148055555556
DAE,28080.0,4591.250555555555
DAE,28886.0,7810.262638888889
DAE,29025.0,15668.3375
DAE,29043.0,8583.434351851853
DAE,29480.0,8842.112222222222
DAE,29856.0,2531.3958333333335
DAE,30180.0,5460.5
DAE,30273.0,7810.311944444445
DAE,30797.0,5207.074722222223
DAE,31332.0,7810.145416666666
DAE,31510.0,7810.264907407407
DAE,32532.0,5935.441111111111
DAE,32842.0,7810.329166666666
DAE,32964.0,4252.518055555555
DAE,33101.0,4960.475833333334
DAE,33330.0,5253.664444444444
DAE,33527.0,14806.934444444445
DAE,33549.0,5681.708333333333
DAE,33991.0,6881.350555555556
DAE,34014.0,7810.134166666667
DAE,35924.0,5726.894722222222
DAE,35960.0,14104.767777777777
DAE,36144.0,5753.355833333333
