,app,node_id,rack_id,mttf_appNode,mttf_appRack,mttf_app
0,RM,66688.0,11488.0,43.25888888888889,2731.4890277777777,9314.031076842599
1,RM,114833.0,9859.0,46.754444444444445,46.754444444444445,9314.031076842599
2,none,145735.0,6860.0,4203.318263888889,4534.032191358025,9568.60980145351
3,RM,217964.0,17596.0,51.49083333333333,2603.3249537037036,9314.031076842599
4,NAS,237451.0,22765.0,53.05083333333334,7399.522222222222,11613.12221349353
5,RM,146055.0,2321.0,60.742222222222225,60.742222222222225,9314.031076842599
6,none,8129.0,20453.0,73.2213888888889,73.2213888888889,9568.60980145351
7,RM,59138.0,11966.0,75.32055555555556,2259.3364814814813,9314.031076842599
8,WSM,19699.0,22206.0,75.54972222222223,75.54972222222223,12462.022295980883
9,none,16385.0,12533.0,78.51305555555557,78.51305555555557,9568.60980145351
10,RM,18412.0,16840.0,94.84333333333333,94.84333333333333,9314.031076842599
11,none,138118.0,20245.0,1665.1854166666667,1665.1854166666667,9568.60980145351
12,none,120201.0,9594.0,5111.177083333333,5111.177083333333,9568.60980145351
13,none,229321.0,15620.0,4483.187098765432,4483.187098765432,9568.60980145351
14,RM,236302.0,8395.0,100.8463888888889,100.8463888888889,9314.031076842599
15,none,198513.0,840.0,8422.869629629631,10638.321362433862,9568.60980145351
16,none,24069.0,18843.0,10166.903657407407,9618.896805555556,9568.60980145351
17,RM,106337.0,27623.0,123.47416666666666,123.47416666666666,9314.031076842599
18,none,156736.0,25785.0,5922.13982638889,5922.13982638889,9568.60980145351
19,WSM,201524.0,25582.0,187.04361111111112,11554.433641975309,12462.022295980883
20,WSM,37168.0,6654.0,8223.232361111111,13107.919805555555,12462.022295980883
21,WSM,118085.0,17435.0,192.04666666666665,10854.763101851851,12462.022295980883
22,RM,20973.0,9984.0,6909.355138888889,7296.361284722223,9314.031076842599
23,RM,105114.0,3005.0,4303.871611111112,4303.871611111112,9314.031076842599
24,RM,62538.0,16584.0,7955.361296296297,7955.361296296297,9314.031076842599
25,RM,157439.0,2803.0,231.33166666666665,231.33166666666665,9314.031076842599
26,WSM,40771.0,1719.0,8775.558958333333,12412.103931623931,12462.022295980883
27,none,121861.0,22858.0,4203.188680555556,4203.188680555556,9568.60980145351
28,none,143575.0,1435.0,4377.032430555555,4377.032430555555,9568.60980145351
29,RM,184358.0,6030.0,219.34111111111113,219.34111111111113,9314.031076842599
30,RM,157439.0,2803.0,231.33166666666665,231.33166666666665,9314.031076842599
31,WSM,24623.0,17182.0,7221.145833333333,12094.751851851854,12462.022295980883
32,DB,45425.0,22875.0,277.5683333333333,277.5683333333333,8076.001524090462
33,none,123400.0,22299.0,6305.266975308642,6305.266975308642,9568.60980145351
34,DAE,97893.0,27240.0,3951.2400000000002,3951.2400000000002,7433.625021965953
35,none,105544.0,7653.0,291.3986111111111,5518.731388888888,9568.60980145351
36,RM,124264.0,3443.0,2811.37,2811.37,9314.031076842599
37,RM,64587.0,18999.0,299.6186111111111,503.1141666666666,9314.031076842599
38,WSM,136451.0,15407.0,6442.829722222222,12761.337083333332,12462.022295980883
39,none,40882.0,13456.0,315.40833333333336,315.40833333333336,9568.60980145351
40,DB,20591.0,9572.0,3811.179074074074,5251.207175925926,8076.001524090462
41,RM,124327.0,27370.0,897.3299999999999,897.3299999999999,9314.031076842599
42,RM,97509.0,17596.0,339.4902777777778,2603.3249537037036,9314.031076842599
43,RM,64510.0,10312.0,357.1261111111111,357.1261111111111,9314.031076842599
44,RM,229185.0,25312.0,8183.141666666666,8183.141666666666,9314.031076842599
45,none,87571.0,24757.0,363.48833333333334,5883.391666666667,9568.60980145351
46,none,222485.0,8433.0,371.7525,371.7525,9568.60980145351
47,DAE,132362.0,2471.0,386.01416666666665,758.6173611111111,7433.625021965953
48,RM,27068.0,17407.0,4983.284722222223,4983.284722222223,9314.031076842599
49,WPS,59536.0,12137.0,387.07194444444445,387.07194444444445,13023.56342013889
50,RM,210908.0,17596.0,387.49055555555555,2603.3249537037036,9314.031076842599
51,WSM,208207.0,16976.0,7807.989166666666,13419.024611111112,12462.022295980883
52,RM,108897.0,12040.0,410.21500000000003,7253.045532407407,9314.031076842599
53,WPS,192398.0,21428.0,5550.118333333333,5550.118333333333,13023.56342013889
