_id,disk_id,failure_time,model_x,model_y,app,node_id,rack_id,machine_room_id
{'$oid': '6266c2f0718b63c8dff9a377'},16089.0,1566227714000,MC1,C1,WSM,18668.0,22293.0,52.0
{'$oid': '6266c2f0718b63c8dff9a378'},187952.0,1566228142000,MC1,C1,WSM,223645.0,23844.0,399.0
{'$oid': '6266c2f0718b63c8dff9a379'},52087.0,1566233551000,MC1,C1,WSM,61980.0,20529.0,601.0
{'$oid': '6266c2f0718b63c8dff9a37a'},54049.0,1566234633000,MC1,C1,WSM,64340.0,17056.0,299.0
{'$oid': '6266c2f0718b63c8dff9a37b'},98012.0,1566237152000,MC1,C1,WPS,117408.0,5068.0,317.0
{'$oid': '6266c2f0718b63c8dff9a37c'},110484.0,1566243849000,MC1,C1,WSM,132128.0,5299.0,405.0
{'$oid': '6266c2f0718b63c8dff9a37d'},43372.0,1566246638000,MC1,C1,WSM,51982.0,10458.0,443.0
{'$oid': '6266c2f0718b63c8dff9a37e'},37071.0,1566248958000,MC1,C1,WSM,44513.0,23086.0,561.0
{'$oid': '6266c2f0718b63c8dff9a37f'},109692.0,1566249736000,MC1,C1,WSM,131251.0,23881.0,261.0
{'$oid': '6266c2f0718b63c8dff9a380'},74563.0,1566250685000,MC1,C1,none,89247.0,281.0,259.0
{'$oid': '6266c2f0718b63c8dff9a381'},171743.0,1566254889000,MC1,C1,WSM,205308.0,6654.0,540.0
{'$oid': '6266c2f0718b63c8dff9a382'},178922.0,1566257316000,MC1,C1,WSM,213129.0,4490.0,49.0
{'$oid': '6266c2f0718b63c8dff9a383'},80878.0,1566259295000,MC1,C1,WSM,97194.0,6646.0,618.0
{'$oid': '6266c2f0718b63c8dff9a384'},2913.0,1566260975000,MC1,C1,WSM,3334.0,23172.0,597.0
{'$oid': '6266c2f0718b63c8dff9a385'},199114.0,1566261281000,MC1,C1,WSM,237091.0,11758.0,411.0
{'$oid': '6266c2f0718b63c8dff9a386'},16120.0,1566265784000,MC1,C1,WSM,18707.0,26232.0,162.0
{'$oid': '6266c2f0718b63c8dff9a387'},137455.0,1566266487000,MC1,C1,WSM,163513.0,20358.0,262.0
{'$oid': '6266c2f0718b63c8dff9a388'},170965.0,1566267292000,MC1,C1,WSM,204583.0,16335.0,625.0
{'$oid': '6266c2f0718b63c8dff9a389'},52388.0,1566267331000,MC1,C1,WSM,62391.0,10808.0,601.0
{'$oid': '6266c2f0718b63c8dff9a38a'},91365.0,1566267767000,MC1,C1,WSM,109213.0,10015.0,518.0
{'$oid': '6266c2f0718b63c8dff9a38b'},170820.0,1566271225000,MC1,C1,WSM,204458.0,27972.0,261.0
{'$oid': '6266c2f0718b63c8dff9a38c'},162440.0,1566273399000,MC1,C1,WSM,194055.0,10135.0,459.0
{'$oid': '6266c2f0718b63c8dff9a38d'},167278.0,1566274252000,MC1,C1,WSM,199901.0,10135.0,459.0
