,Unnamed: 0,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
43,397,2018-02-14,WSM,419957121312.02167,12.991201840138013,203.87637283652464,0.0,0.0,0.0,0.0,0.0,0.0
44,406,2018-02-15,WSM,420346849967.0206,12.972353144039545,204.16207828036093,0.0,0.0,0.0,0.0,0.0,0.0
45,415,2018-02-16,WSM,420758645345.56805,13.03531983433042,204.15853658536585,0.0,0.0,0.0,0.0,0.0,0.0
46,424,2018-02-17,WSM,421791835584.76855,13.04768752876208,204.608202945237,0.0,0.0,0.0,0.0,0.0,0.0
47,433,2018-02-18,WSM,422616087660.3138,13.085019309470288,204.781774165658,0.0,0.0,0.0,0.0,0.0,0.0
48,442,2018-02-19,WSM,423204140340.0333,13.114466858789624,205.08247838616717,0.0,0.0,0.0,0.0,0.0,0.0
49,451,2018-02-20,WSM,424105875158.5124,13.10210538426139,205.77272204325817,0.0,0.0,0.0,0.0,0.0,0.0
50,460,2018-02-21,WSM,425210504727.0114,13.179694727104533,206.39902873330635,1.0,1.0,0.0004073485681697,21504924.000000004,29458.800000000003,896038.5000000001
51,469,2018-02-22,WSM,425041401482.0083,13.111635401081829,206.34386328327287,0.0,1.0,0.0003992237316329,21942583.333333336,30058.333333333336,914274.3055555556
52,478,2018-02-23,WSM,425718311337.7098,13.106843495234816,206.60799173269032,0.0,1.0,0.0003913958153264,22381435.0,30659.5,932559.7916666667
53,487,2018-02-24,WSM,426868344171.9132,13.131858661304223,207.18356794024703,0.0,1.0,0.0003838689727239,22820286.666666668,31260.666666666668,950845.2777777778
54,496,2018-02-25,WSM,427896204722.0965,13.149074393469013,207.6757502587099,0.0,1.0,0.0003766261619178,23259138.33333333,31861.83333333333,969130.7638888888
55,505,2018-02-26,WSM,427753613306.62,13.202595904239978,207.3370060571099,0.0,1.0,0.0003696516033638,23697990.0,32463.0,987416.25
56,514,2018-02-27,WSM,429431737650.21326,13.159609307670207,208.46061476587187,0.0,1.0,0.0003629306651208,24136841.666666664,33064.166666666664,1005701.736111111
