,0
0,292.0
1,387.0
2,1132.0
3,1132.0
4,1583.0
5,1588.0
6,1588.0
7,1601.0
8,1652.0
9,1672.0
10,1702.0
11,1702.0
12,1705.0
13,1727.0
14,1763.0
15,1765.0
16,1815.0
17,1816.0
18,1847.0
19,1850.0
20,1885.0
21,1897.0
22,2044.0
23,2044.0
24,2055.0
25,2075.0
26,2077.0
27,2104.0
28,2111.0
29,2128.0
30,2140.0
31,2183.0
32,2183.0
33,2218.0
34,2283.0
35,2287.0
36,2287.0
37,2294.0
38,2297.0
39,2327.0
40,2332.0
41,2342.0
42,2342.0
43,2350.0
44,2351.0
45,2351.0
46,2399.0
47,2423.0
48,2436.0
49,2437.0
50,2438.0
51,2444.0
52,2451.0
53,2452.0
54,2461.0
55,2461.0
56,2470.0
57,2471.0
58,2484.0
59,2484.0
60,2484.0
61,2484.0
62,2484.0
63,2493.0
64,2507.0
65,2519.0
66,2519.0
67,2522.0
68,2532.0
69,2543.0
70,2558.0
71,2560.0
72,2576.0
73,2582.0
74,2592.0
75,2605.0
76,2611.0
77,2614.0
78,2614.0
79,2631.0
80,2633.0
81,2635.0
82,2635.0
83,2635.0
84,2637.0
85,2641.0
86,2668.0
87,2677.0
88,2677.0
89,2677.0
90,2687.0
91,2779.0
92,2822.0
93,2836.0
94,2851.0
95,2890.0
96,2915.0
97,2922.0
98,2923.0
99,2975.0
100,2977.0
101,3041.0
102,3061.0
103,3061.0
104,3062.0
105,3084.0
106,3084.0
107,3108.0
108,3146.0
109,3178.0
110,3198.0
111,3239.0
112,3285.0
113,3287.0
114,3316.0
115,3325.0
116,3334.0
117,3356.0
118,3378.0
119,3409.0
120,3427.0
121,3445.0
122,3445.0
123,3455.0
124,3473.0
125,3499.0
126,3518.0
127,3547.0
128,3562.0
129,3581.0
130,3604.0
131,3604.0
132,3613.0
133,3618.0
134,3619.0
135,3644.0
136,3652.0
137,3738.0
138,3769.0
139,3829.0
140,3830.0
141,3854.0
142,3858.0
143,3859.0
144,3906.0
145,3911.0
146,3923.0
147,3923.0
148,3930.0
149,3931.0
150,3934.0
151,3971.0
152,3978.0
153,3978.0
154,3987.0
155,3988.0
156,3988.0
157,4007.0
158,4050.0
159,4068.0
160,4068.0
161,4068.0
162,4068.0
163,4101.0
164,4107.0
165,4125.0
166,4127.0
167,4140.0
168,4154.0
169,4156.0
170,4167.0
171,4209.0
172,4236.0
173,4237.0
174,4241.0
175,4241.0
176,4242.0
177,4242.0
178,4242.0
179,4242.0
180,4242.0
181,4242.0
182,4253.0
183,4260.0
184,4266.0
185,4266.0
186,4281.0
187,4283.0
188,4290.0
189,4298.0
190,4300.0
191,4309.0
192,4315.0
193,4316.0
194,4317.0
195,4327.0
196,4332.0
197,4336.0
198,4338.0
199,4338.0
200,4341.0
201,4341.0
202,4351.0
203,4360.0
204,4364.0
205,4376.0
206,4377.0
207,4380.0
208,4385.0
209,4395.0
210,4421.0
211,4427.0
212,4453.0
213,4479.0
214,4479.0
215,4480.0
216,4480.0
217,4492.0
218,4497.0
219,4505.0
220,4507.0
221,4513.0
222,4530.0
223,4531.0
224,4533.0
225,4563.0
226,4576.0
227,4577.0
228,4590.0
229,4592.0
230,4592.0
231,4599.0
232,4601.0
233,4602.0
234,4604.0
235,4609.0
236,4621.0
237,4623.0
238,4631.0
239,4641.0
240,4656.0
241,4671.0
242,4673.0
243,4675.0
244,4692.0
245,4702.0
246,4710.0
247,4712.0
248,4719.0
249,4732.0
250,4735.0
251,4739.0
252,4783.0
253,4788.0
254,4793.0
255,4802.0
256,4804.0
257,4820.0
258,4836.0
259,4836.0
260,4836.0
261,4845.0
262,4845.0
263,4845.0
264,4847.0
265,4857.0
266,4865.0
267,4872.0
268,4896.0
269,4901.0
270,4908.0
271,4908.0
272,4910.0
273,4928.0
274,4932.0
275,4942.0
276,4953.0
277,4958.0
278,4958.0
279,4958.0
280,4958.0
281,4958.0
282,4961.0
283,4962.0
284,4965.0
285,4965.0
286,4987.0
287,5000.0
288,5000.0
289,5015.0
290,5025.0
291,5031.0
292,5033.0
293,5036.0
294,5062.0
295,5076.0
296,5076.0
297,5076.0
298,5110.0
299,5111.0
300,5125.0
301,5128.0
302,5130.0
303,5130.0
304,5133.0
305,5141.0
306,5149.0
307,5151.0
308,5152.0
309,5154.0
310,5155.0
311,5155.0
312,5156.0
313,5159.0
314,5181.0
315,5186.0
316,5196.0
317,5201.0
318,5203.0
319,5233.0
320,5235.0
321,5240.0
322,5253.0
323,5254.0
324,5254.0
325,5254.0
326,5254.0
327,5254.0
328,5254.0
329,5254.0
330,5254.0
331,5263.0
332,5282.0
333,5293.0
334,5295.0
335,5296.0
336,5314.0
337,5327.0
338,5329.0
339,5332.0
340,5332.0
341,5352.0
342,5354.0
343,5354.0
344,5375.0
345,5380.0
346,5384.0
347,5386.0
348,5388.0
349,5388.0
350,5390.0
351,5392.0
352,5395.0
353,5403.0
354,5416.0
355,5425.0
356,5427.0
357,5433.0
358,5435.0
359,5436.0
