Num_Blocks,MTBF_Input,MTTR_Input,System_Availability,System_Reliability,System_MTTF,System_MTTR
2,1,1,0.8646647167633873,0.1353352832366127,7.3890560989306495,1
3,1,1,0.950212931632136,0.04978706836786395,20.085536923187664,1
4,1,1,0.9816843611112658,0.018315638888734186,54.59815003314422,1
2,1,2,0.8646647167633873,0.1353352832366127,7.3890560989306495,2
3,1,2,0.950212931632136,0.04978706836786395,20.085536923187664,2
4,1,2,0.9816843611112658,0.018315638888734186,54.59815003314422,2
2,1,3,0.8646647167633873,0.1353352832366127,7.3890560989306495,3
3,1,3,0.950212931632136,0.04978706836786395,20.085536923187664,3
4,1,3,0.9816843611112658,0.018315638888734186,54.59815003314422,3
2,2,1,0.9816843611112658,0.018315638888734182,54.598150033144236,1
3,2,1,0.9975212478233336,0.002478752176666359,403.42879349273505,1
4,2,1,0.9996645373720975,0.0003354626279025119,2980.957987041728,1
2,2,2,0.9816843611112658,0.018315638888734182,54.598150033144236,2
3,2,2,0.9975212478233336,0.002478752176666359,403.42879349273505,2
4,2,2,0.9996645373720975,0.0003354626279025119,2980.957987041728,2
2,2,3,0.9816843611112658,0.018315638888734182,54.598150033144236,3
3,2,3,0.9975212478233336,0.002478752176666359,403.42879349273505,3
4,2,3,0.9996645373720975,0.0003354626279025119,2980.957987041728,3
2,3,1,0.9975212478233336,0.0024787521766663585,403.4287934927351,1
3,3,1,0.9998765901959134,0.00012340980408667956,8103.083927575383,1
4,3,1,0.9999938557876467,6.144212353328211e-06,162754.7914190039,1
2,3,2,0.9975212478233336,0.0024787521766663585,403.4287934927351,2
3,3,2,0.9998765901959134,0.00012340980408667956,8103.083927575383,2
4,3,2,0.9999938557876467,6.144212353328211e-06,162754.7914190039,2
2,3,3,0.9975212478233336,0.0024787521766663585,403.4287934927351,3
3,3,3,0.9998765901959134,0.00012340980408667956,8103.083927575383,3
4,3,3,0.9999938557876467,6.144212353328211e-06,162754.7914190039,3
