,app,models,n_b_written,n_b_read,media_wearout_i,w_l_count,w_r_d,%write,%read,%write_appModel,N_AllSSDsApp,N_failed_SDDs,AFR_SDDs,mttf_SDDs,lithography,capacity,tech
31,RM,A5,4930504823.0,7325172672.0,93.61158895427795,0.0,0.0,40.23037343314165,59.76962656685835,4.5931820654818486e-05,2758,22,0.003988397389412618,2196370.909090909,16nm,480GB,MLC
32,RM,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11007,107,0.004860543290633234,1802267.6635514018,20nm,800GB,MLC
33,RM,B1,1420682758731779.0,0.0,0.0,0.0,253.08023774145616,100.0,0.0,13.234860936969179,12574,38,0.0015110545570224273,5797275.7894736845,21nm,480GB,MLC
34,RM,B2,7392427639438893.0,2063980287917608.0,0.0,0.0,830.4946734599351,78.17373886815197,21.826261131848035,68.8667129894075,8015,123,0.0076731129132875855,1141648.780487805,19nm,1920GB,MLC
35,RM,B3,1921082997085474.0,1305133894759175.0,0.0,0.0,364.96781609195403,59.54599648714441,40.45400351285559,17.896512193544847,3582,204,0.02847571189279732,307630.5882352941,24nm,1920GB,MLC
36,RM,C1,0.0,0.0,0.0,201.91222210625196,0.0,0.0,0.0,0.0,11705,806,0.03442973088423751,254431.26550868485,V1,1920GB,3D-TLC
37,RM,C2,0.0,0.0,0.0,124.4920955264043,0.0,0.0,0.0,0.0,3749,192,0.025606828487596694,342096.25,V1,960GB,3D-TLC
38,SS,A1,11239913127.0,15328231982.0,77.67885532591416,0.0,0.0,42.30597612624625,57.69402387375375,0.0006703296069098297,5745,4,0.00034812880765883376,25163100.0,20nm,480GB,MLC
39,SS,A2,91283806448.0,122143276120.0,76.85380548383131,0.0,0.0,42.770488800977766,57.22951119902224,0.00544401343694841,16781,30,0.0008938680650735951,9800104.0,20nm,800GB,MLC
40,SS,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480,80,0.016129032258064516,543120.0,20nm,480GB,MLC
41,SS,A4,61392222.0,2008893.0,95.03389830508475,0.0,0.0,96.83145477804295,3.168545221957059,3.6613293693280513e-06,114,3,0.013157894736842105,665760.0,16nm,240GB,MLC
42,SS,A5,199688926.0,11181460.0,98.3323076923077,0.0,0.0,94.6974725981675,5.302527401832517,1.1909113331870868e-05,379,9,0.011873350923482849,737786.6666666667,16nm,480GB,MLC
43,SS,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3284,17,0.0025883069427527407,3384451.764705882,20nm,800GB,MLC
44,SS,B2,1645168987343794.0,2303369461368795.0,0.0,0.0,513.2367079388201,41.66526446969757,58.33473553030243,98.11512492363484,1972,5,0.0012677484787018255,6909888.0,19nm,1920GB,MLC
45,SS,B3,31502311998234.0,3419528333842.0,0.0,0.0,32.53,90.20805232105384,9.79194767894616,1.8787451628786072,882,3,0.0017006802721088435,5150880.0,24nm,1920GB,MLC
46,SS,C1,0.0,0.0,0.0,156.47577092511014,0.0,0.0,0.0,0.0,268,18,0.033582089552238806,260853.33333333334,V1,1920GB,3D-TLC
47,SS,C2,0.0,0.0,0.0,47.42676501580611,0.0,0.0,0.0,0.0,1030,15,0.007281553398058253,1203040.0,V1,960GB,3D-TLC
48,WPS,A1,57863862591.0,163327260314.0,80.14274268927761,0.0,0.0,26.160119733128763,73.83988026687123,0.0022873679487700263,9832,26,0.0013222131814483319,6625255.384615385,20nm,480GB,MLC
49,WPS,A2,2616765.0,1424925.0,97.0,0.0,0.0,64.74432724924475,35.25567275075525,1.0344114828231616e-07,24,0,0,0,20nm,800GB,MLC
50,WPS,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,20nm,480GB,MLC
51,WPS,A4,6466682.0,1341979.0,98.92592592592592,0.0,0.0,82.81422384708466,17.185776152915334,2.5562899674085555e-07,27,0,0,0,16nm,240GB,MLC
52,WPS,A5,622758268.0,1232017175.0,77.47540983606558,0.0,0.0,33.5759388205357,66.4240611794643,2.4617736152931726e-05,63,0,0,0,16nm,480GB,MLC
53,WPS,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,20nm,800GB,MLC
54,WPS,B1,327042829719766.0,0.0,0.0,0.0,379.17864271457086,100.0,0.0,12.92805652923002,1401,7,0.0024982155603140615,3506502.8571428573,21nm,480GB,MLC
55,WPS,B2,944005519299355.0,2771204086413274.0,0.0,0.0,187.05323653962492,25.409212924294255,74.59078707570575,37.31669251964523,2092,7,0.0016730401529636712,5235977.142857143,19nm,1920GB,MLC
56,WPS,B3,1258606952399367.0,2940532471987573.0,0.0,0.0,132.72070098576123,29.97297363097486,70.02702636902514,49.75293860636968,3471,15,0.00216076058772688,4054127.9999999995,24nm,1920GB,MLC
57,WPS,C1,0.0,0.0,0.0,143.87681670664597,0.0,0.0,0.0,0.0,26935,470,0.008724707629478374,1004045.1063829787,V1,1920GB,3D-TLC
58,WPS,C2,0.0,0.0,0.0,54.33136094674556,0.0,0.0,0.0,0.0,813,4,0.0024600246002460025,3560940.0,V1,960GB,3D-TLC
59,WS,A1,35684215715.0,41289344036.0,77.9919730709477,0.0,0.0,46.35905605825435,53.64094394174565,0.002731863572410755,10005,117,0.005847076461769116,1498184.6153846153,20nm,480GB,MLC
60,WS,A2,649618154.0,865868265.0,91.91739130434783,0.0,0.0,42.865323361238254,57.134676638761746,4.9732581628334096e-05,740,17,0.011486486486486487,762635.294117647,20nm,800GB,MLC
61,WS,A4,2553451217.0,89302450.0,91.42619808306709,0.0,0.0,96.62085607466494,3.3791439253350584,0.0001954836395834799,1689,13,0.0038484310242747188,2276252.3076923075,16nm,240GB,MLC
62,WS,A5,2589948254.0,1637544023.0,79.34154929577464,0.0,0.0,61.26441124661102,38.73558875338899,0.00019827773002048272,432,21,0.024305555555555556,360411.4285714286,16nm,480GB,MLC
63,WS,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,2,0.004166666666666667,2102400.0,20nm,800GB,MLC
64,WS,B1,622949780211701.0,0.0,0.0,0.0,1050.8824884792627,100.0,0.0,47.69094059943898,1311,18,0.006864988558352402,1276040.0,21nm,480GB,MLC
65,WS,B2,681995292508021.0,38891881162745.0,0.0,0.0,342.0558139534884,94.60499748321126,5.395002516788734,52.21126648932096,1430,21,0.0073426573426573424,1193028.5714285714,19nm,1920GB,MLC
66,WS,B3,1235915743136.0,81460375885.0,0.0,0.0,31.096774193548388,93.81646784780516,6.183532152194832,0.09461755371641649,82,1,0.006097560975609756,1436640.0,24nm,1920GB,MLC
67,WS,C1,0.0,0.0,0.0,30.79736842105263,0.0,0.0,0.0,0.0,864,10,0.005787037037037037,1513728.0,V1,1920GB,3D-TLC
68,WS,C2,0.0,0.0,0.0,28.942028985507246,0.0,0.0,0.0,0.0,310,6,0.00967741935483871,905200.0,V1,960GB,3D-TLC
69,WSM,A1,710537807779.0,530590800489.0,80.61392032308275,0.0,0.0,57.24932960578182,42.75067039421818,0.0008868961932291707,112560,207,0.0009195095948827292,9526817.391304348,20nm,480GB,MLC
