Model,Metric,Score
Random Forest,MAE,7.798997928805613e-05
Random Forest,MSE,2.504813723750141e-08
XGBoost,MAE,0.0001431718555977568
XGBoost,MSE,5.8762775978493664e-08
LSTM,MAE,0.0022822157479822636
LSTM,MSE,8.675105164002161e-06
Random Forest,MAE,0.00013030768430089023
Random Forest,MSE,9.740799070048608e-08
XGBoost,MAE,0.00015953903380879
XGBoost,MSE,5.6126522322290905e-08
LSTM,MAE,0.0072791027820298775
LSTM,MSE,0.002944955530119281
