Model,Metric,Score
Random Forest,MAE,106032.01655997708
Random Forest,MSE,86801089162.76314
XGBoost,MAE,102657.28125
XGBoost,MSE,100857651200.0
LSTM,MAE,2214013.5
LSTM,MSE,10345793978368.0
Random Forest,MAE,135786.55324434987
Random Forest,MSE,439090963325.11444
XGBoost,MAE,134080.46987429415
XGBoost,MSE,434405127588.8785
LSTM,MAE,2099506.522051674
LSTM,MSE,10662357174666.295
