,disk_id,timestamp,r_sectors,u_errors,n_b_written,n_b_read,app
95,19015.0,27360.0,100.0,100.0,99.0,99.0,DAE
96,19015.0,28800.0,100.0,100.0,99.0,99.0,DAE
97,19015.0,28800.0,100.0,100.0,100.0,100.0,DAE
98,19015.0,28800.0,94.0,100.0,,,DAE
99,19015.0,28800.0,100.0,100.0,,,DAE
100,19015.0,28800.0,100.0,100.0,99.0,99.0,DAE
101,19015.0,30240.0,100.0,100.0,99.0,99.0,DAE
102,19015.0,30240.0,100.0,100.0,,,DAE
103,19015.0,30240.0,100.0,100.0,100.0,100.0,DAE
104,19015.0,30240.0,94.0,100.0,,,DAE
105,19015.0,30240.0,100.0,100.0,99.0,99.0,DAE
106,19015.0,31680.0,94.0,100.0,,,DAE
107,19015.0,31680.0,100.0,100.0,99.0,99.0,DAE
108,19015.0,31680.0,100.0,100.0,99.0,99.0,DAE
109,19015.0,31680.0,100.0,100.0,,,DAE
110,19015.0,31680.0,100.0,100.0,100.0,100.0,DAE
111,19015.0,33120.0,100.0,100.0,100.0,100.0,DAE
112,19015.0,33120.0,100.0,100.0,99.0,99.0,DAE
113,19015.0,33120.0,100.0,100.0,99.0,99.0,DAE
114,19015.0,33120.0,94.0,100.0,,,DAE
115,19015.0,33120.0,100.0,100.0,,,DAE
116,19015.0,34560.0,100.0,100.0,99.0,99.0,DAE
117,19015.0,34560.0,100.0,100.0,99.0,99.0,DAE
118,19015.0,34560.0,94.0,100.0,,,DAE
119,19015.0,34560.0,100.0,100.0,100.0,100.0,DAE
120,19015.0,34560.0,100.0,100.0,,,DAE
121,19015.0,36000.0,100.0,100.0,,,DAE
122,19015.0,36000.0,100.0,100.0,100.0,100.0,DAE
123,19015.0,36000.0,94.0,100.0,,,DAE
124,19015.0,36000.0,100.0,100.0,99.0,99.0,DAE
125,19015.0,36000.0,100.0,100.0,99.0,99.0,DAE
126,19015.0,37440.0,94.0,100.0,,,DAE
127,19015.0,37440.0,100.0,100.0,100.0,100.0,DAE
128,19015.0,37440.0,100.0,100.0,99.0,99.0,DAE
129,19015.0,37440.0,100.0,100.0,99.0,99.0,DAE
130,19015.0,37440.0,100.0,100.0,,,DAE
