,0
0,2404.0
1,2452.0
2,2501.0
3,2608.0
4,2740.0
5,2747.0
6,2991.0
7,3172.0
8,3452.0
9,3508.0
10,3639.0
11,4784.0
12,5488.0
13,5657.0
14,5731.0
15,5812.0
16,5997.0
17,6032.0
18,6244.0
19,6324.0
20,6484.0
21,7036.0
22,7643.0
23,7675.0
24,7811.0
25,8020.0
26,8492.0
27,9179.0
28,9292.0
29,9292.0
30,9292.0
31,9292.0
32,9292.0
33,9292.0
34,9292.0
35,9292.0
36,9292.0
37,9292.0
38,9292.0
39,9292.0
40,9665.0
41,9787.0
42,9875.0
43,10278.0
44,10331.0
45,10331.0
46,10331.0
47,10331.0
48,10331.0
49,10331.0
50,11608.0
51,12222.0
52,12347.0
53,13449.0
54,13889.0
55,13978.0
56,14233.0
57,15106.0
58,15730.0
59,17358.0
60,17444.0
