,disk_id,failure_time,model_y,app
107,2230.0,2018-02-10 03:28:02,B2,none
108,43192.0,2018-07-10 03:52:54,B2,RM
109,23450.0,2019-01-27 15:41:09,B2,RM
110,25799.0,2019-09-04 16:19:34,B2,RM
111,2920.0,2018-09-27 10:52:24,B2,RM
112,44951.0,2018-05-08 01:32:10,B2,RM
113,23515.0,2018-05-15 12:12:19,B2,none
114,7093.0,2018-08-16 21:48:32,B2,RM
115,20323.0,2018-12-10 21:41:33,B2,RM
116,17510.0,2019-06-18 15:34:03,B2,RM
117,42802.0,2018-12-17 17:06:03,B2,RM
118,11885.0,2018-04-29 06:27:13,B2,none
119,44706.0,2019-07-12 18:18:42,B2,RM
120,47659.0,2018-07-12 03:19:16,B2,RM
121,14380.0,2019-09-16 11:28:05,B2,none
122,3639.0,2019-03-07 05:39:40,B2,none
123,44786.0,2018-12-26 23:51:56,B2,RM
124,31886.0,2018-08-12 10:20:35,B2,none
125,15395.0,2019-09-06 07:32:05,B2,RM
126,7653.0,2018-07-03 08:15:46,B2,none
127,37153.0,2019-07-06 05:53:21,B2,WSM
128,22128.0,2019-02-20 20:19:08,B2,RM
129,29081.0,2018-07-19 22:33:50,B2,none
130,6488.0,2018-10-12 13:35:50,B2,RM
131,10118.0,2018-06-12 06:06:28,B2,WPS
132,27628.0,2019-12-20 17:06:53,B2,none
133,20930.0,2018-06-14 04:22:12,B2,RM
134,30880.0,2019-01-20 11:32:15,B2,none
135,18948.0,2018-09-09 07:20:11,B2,WS
136,38673.0,2018-11-12 05:47:58,B2,DB
137,38685.0,2019-12-22 09:02:02,B2,DB
138,38850.0,2019-04-12 04:48:25,B2,RM
139,19874.0,2019-05-25 05:25:46,B2,WS
140,41837.0,2018-04-07 19:52:36,B2,WSM
141,19862.0,2019-02-26 03:58:01,B2,WSM
142,37305.0,2019-04-15 20:48:39,B2,WSM
143,1435.0,2019-08-17 00:18:06,B2,WS
144,48764.0,2018-05-05 14:22:26,B2,WS
145,29498.0,2018-05-24 19:32:13,B2,NAS
